line,category,votes,in_consensus,is_ground_truth,status,function,label_id,group
221,input_validation_weakness,5,1,1,TP,produce_i0,p1-2,IVW-produce_i0
222,input_validation_weakness,5,1,1,TP,produce_i0,p1-3,IVW-produce_i0
223,direct_usage_of_shared_memory,5,1,0,FP,,,
223,input_validation_weakness,0,0,1,FN,produce_i0,p1-4,IVW-produce_i0
224,direct_usage_of_shared_memory,5,1,0,FP,,,
227,direct_usage_of_shared_memory,1,0,0,none,,,
227,input_validation_weakness,4,1,1,TP,produce_i0,p1-5,IVW-produce_i0
231,input_validation_weakness,5,1,1,TP,produce_i0,c1,IVW-produce_i0
238,direct_usage_of_shared_memory,1,0,0,none,,,
238,input_validation_weakness,4,1,1,TP,produce_i0,c2,IVW-produce_i0
239,direct_usage_of_shared_memory,1,0,0,none,,,
239,input_validation_weakness,4,1,0,FP,,,
246,input_validation_weakness,5,1,0,FP,,,
254,input_validation_weakness,0,0,1,FN,produce_i3,p1-6,IVW-produce_i3
256,input_validation_weakness,0,0,1,FN,produce_i3,p1-7,IVW-produce_i3
258,input_validation_weakness,0,0,1,FN,produce_i3,c5,IVW-produce_i3
283,input_validation_weakness,5,1,1,TP,input,b1,IVW-input
284,input_validation_weakness,5,1,1,TP,input,b2,IVW-input
285,input_validation_weakness,5,1,1,TP,input,b3,IVW-input
286,direct_usage_of_shared_memory,5,1,0,FP,,,
286,input_validation_weakness,0,0,1,FN,input,b4,IVW-input
287,direct_usage_of_shared_memory,5,1,0,FP,,,
290,direct_usage_of_shared_memory,1,0,0,none,,,
290,input_validation_weakness,4,1,1,TP,input,b5,IVW-input
291,input_validation_weakness,5,1,1,TP,input,b6,IVW-input
293,direct_usage_of_shared_memory,5,1,0,FP,,,
295,input_validation_weakness,5,1,1,TP,input,f1,IVW-input
296,input_validation_weakness,5,1,1,TP,input,f2,IVW-input
306,direct_usage_of_shared_memory,1,0,0,none,,,
306,input_validation_weakness,4,1,1,TP,input,pa3,IVW-input
307,direct_usage_of_shared_memory,1,0,0,none,,,
307,input_validation_weakness,4,1,1,TP,input,pa4,IVW-input
309,input_validation_weakness,5,1,1,TP,input,pa5,IVW-input
319,direct_usage_of_shared_memory,5,1,1,TP,produce_s2,p2-1,SMO-produce_s2
326,direct_usage_of_shared_memory,5,1,1,TP,produce_s2,p2-2,SMO-produce_s2
329,direct_usage_of_shared_memory,0,0,1,FN,produce_s2,p2-3,SMO-produce_s2
334,direct_usage_of_shared_memory,5,1,1,TP,produce_s,p1-1,SMO-produce_s
338,direct_usage_of_shared_memory,0,0,1,FN,produce_s,p1-2,SMO-produce_s
342,direct_usage_of_shared_memory,5,1,1,TP,produce_s,p1-7,SMO-produce_s
357,direct_usage_of_shared_memory,0,0,1,FN,produce_s3,p1-3,SMO-produce_s3
359,direct_usage_of_shared_memory,5,1,1,TP,produce_s3,p1-5,SMO-produce_s3
364,direct_usage_of_shared_memory,0,0,1,FN,produce_s3,p1-6,SMO-produce_s3
368,direct_usage_of_shared_memory,5,1,1,TP,produce_s3,c4,SMO-produce_s3
374,direct_usage_of_shared_memory,5,1,1,TP,produce_s3,c5,SMO-produce_s3
380,direct_usage_of_shared_memory,5,1,1,TP,produce_s3,c6,SMO-produce_s3
384,direct_usage_of_shared_memory,5,1,0,FP,,,
385,direct_usage_of_shared_memory,0,0,1,FN,produce_s3,c7,SMO-produce_s3
389,direct_usage_of_shared_memory,5,1,1,TP,produce_s3,c8,SMO-produce_s3
393,direct_usage_of_shared_memory,5,1,1,TP,produce_s3,c9,SMO-produce_s3
422,direct_usage_of_shared_memory,0,0,1,FN,shared_memory,b1,SMO-shared_memory
425,direct_usage_of_shared_memory,5,1,1,TP,shared_memory,b3,SMO-shared_memory
432,direct_usage_of_shared_memory,5,1,1,TP,shared_memory,b4,SMO-shared_memory
437,direct_usage_of_shared_memory,5,1,0,FP,,,
439,direct_usage_of_shared_memory,0,0,1,FN,shared_memory,b5,SMO-shared_memory
443,direct_usage_of_shared_memory,0,0,1,FN,shared_memory,b6,SMO-shared_memory
447,direct_usage_of_shared_memory,5,1,1,TP,shared_memory,f1,SMO-shared_memory
453,direct_usage_of_shared_memory,5,1,1,TP,shared_memory,f2,SMO-shared_memory
459,direct_usage_of_shared_memory,5,1,1,TP,shared_memory,f3,SMO-shared_memory
463,direct_usage_of_shared_memory,5,1,0,FP,,,
464,direct_usage_of_shared_memory,0,0,1,FN,shared_memory,f4,SMO-shared_memory
468,direct_usage_of_shared_memory,5,1,1,TP,shared_memory,f5,SMO-shared_memory
472,direct_usage_of_shared_memory,5,1,1,TP,shared_memory,f6,SMO-shared_memory
