line,category,function,label_id,group,scis_hit,current_hit,status
319,direct_usage_of_shared_memory,produce_s2,p2-1,SMO-produce_s2,0,0,no_change
326,direct_usage_of_shared_memory,produce_s2,p2-2,SMO-produce_s2,0,0,no_change
329,direct_usage_of_shared_memory,produce_s2,p2-3,SMO-produce_s2,0,0,no_change
334,direct_usage_of_shared_memory,produce_s,p1-1,SMO-produce_s,0,0,no_change
338,direct_usage_of_shared_memory,produce_s,p1-2,SMO-produce_s,0,1,improved
342,direct_usage_of_shared_memory,produce_s,p1-7,SMO-produce_s,0,0,no_change
357,direct_usage_of_shared_memory,produce_s3,p1-3,SMO-produce_s3,0,1,improved
359,direct_usage_of_shared_memory,produce_s3,p1-5,SMO-produce_s3,0,0,no_change
364,direct_usage_of_shared_memory,produce_s3,p1-6,SMO-produce_s3,0,1,improved
368,direct_usage_of_shared_memory,produce_s3,c4,SMO-produce_s3,0,0,no_change
374,direct_usage_of_shared_memory,produce_s3,c5,SMO-produce_s3,0,0,no_change
380,direct_usage_of_shared_memory,produce_s3,c6,SMO-produce_s3,0,0,no_change
385,direct_usage_of_shared_memory,produce_s3,c7,SMO-produce_s3,0,0,no_change
389,direct_usage_of_shared_memory,produce_s3,c8,SMO-produce_s3,0,0,no_change
393,direct_usage_of_shared_memory,produce_s3,c9,SMO-produce_s3,0,0,no_change
422,direct_usage_of_shared_memory,shared_memory,b1,SMO-shared_memory,0,1,improved
425,direct_usage_of_shared_memory,shared_memory,b3,SMO-shared_memory,0,1,improved
432,direct_usage_of_shared_memory,shared_memory,b4,SMO-shared_memory,0,0,no_change
439,direct_usage_of_shared_memory,shared_memory,b5,SMO-shared_memory,0,0,no_change
443,direct_usage_of_shared_memory,shared_memory,b6,SMO-shared_memory,0,1,improved
447,direct_usage_of_shared_memory,shared_memory,f1,SMO-shared_memory,0,0,no_change
453,direct_usage_of_shared_memory,shared_memory,f2,SMO-shared_memory,0,0,no_change
459,direct_usage_of_shared_memory,shared_memory,f3,SMO-shared_memory,0,0,no_change
464,direct_usage_of_shared_memory,shared_memory,f4,SMO-shared_memory,0,0,no_change
468,direct_usage_of_shared_memory,shared_memory,f5,SMO-shared_memory,0,0,no_change
472,direct_usage_of_shared_memory,shared_memory,f6,SMO-shared_memory,0,0,no_change
